frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
2018, 0, 90.254, 0.98, 1, 1.10, 1.90, 3.21, 0.66, 0.99, 1.74, 0.94, 0.71, 0.32, 0.00, 1.07, 1.35, 0.00, 0.78, 0.95, 0.45, 1.24, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2019, 0, 90.277, 0.98, 1, 1.27, 1.95, 3.28, 1.09, 1.07, 1.98, 0.88, 0.63, 0.28, 0.00, 1.38, 1.42, 0.05, 0.78, 1.02, 0.59, 1.10, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2020, 0, 90.340, 0.98, 1, 1.03, 1.64, 3.28, 0.88, 1.21, 1.66, 0.78, 0.71, 0.31, 0.03, 1.16, 1.49, 0.35, 0.87, 0.93, 0.74, 0.89, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2021, 0, 90.387, 0.98, 1, 1.08, 1.64, 3.29, 1.09, 1.21, 1.53, 0.88, 0.76, 0.31, 0.11, 1.16, 1.54, 0.18, 0.89, 0.98, 0.86, 0.81, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2022, 0, 90.419, 0.98, 1, 1.11, 1.65, 3.51, 1.03, 1.18, 1.98, 1.03, 0.73, 0.38, 0.31, 1.00, 1.59, 0.00, 0.92, 0.79, 1.03, 1.10, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2023, 0, 90.451, 0.98, 1, 1.04, 1.86, 3.18, 1.25, 1.08, 2.29, 0.95, 0.58, 0.26, 0.00, 1.29, 1.33, 0.23, 0.76, 0.77, 0.47, 1.05, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2024, 0, 90.515, 0.98, 1, 1.24, 1.90, 3.55, 1.28, 1.15, 2.17, 1.03, 0.60, 0.21, 0.03, 0.69, 1.45, 0.19, 0.79, 0.83, 0.77, 0.98, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2025, 0, 90.559, 0.98, 1, 1.25, 1.77, 3.61, 1.14, 1.15, 2.23, 1.00, 0.57, 0.22, 0.00, 0.81, 1.53, 0.18, 0.80, 0.82, 0.74, 0.89, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2026, 0, 90.590, 0.98, 1, 1.22, 1.61, 3.32, 1.11, 1.14, 1.85, 0.76, 0.80, 0.16, 0.00, 1.29, 1.46, 0.13, 0.78, 0.83, 0.53, 1.11, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
2026, 0, 90.590, 0.98, 1, 1.22, 1.61, 3.32, 1.11, 1.14, 1.85, 0.76, 0.80, 0.16, 0.00, 1.29, 1.46, 0.13, 0.78, 0.83, 0.53, 1.11, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
2027, 0, 90.641, 0.98, 1, 1.24, 1.64, 3.42, 0.83, 1.07, 1.89, 1.10, 0.82, 0.19, 0.04, 1.21, 1.35, 0.12, 0.82, 0.55, 0.56, 0.95, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
2028, 0, 90.687, 0.98, 1, 1.26, 1.80, 3.41, 0.72, 1.06, 2.07, 0.94, 0.75, 0.14, 0.06, 1.38, 1.22, 0.31, 0.76, 0.95, 0.83, 1.01, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0,Angry
2029, 0, 90.755, 0.98, 1, 1.21, 1.77, 3.25, 1.07, 0.99, 2.01, 0.92, 0.77, 0.19, 0.00, 1.20, 1.31, 0.24, 0.80, 0.64, 0.78, 0.94, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
2030, 0, 90.795, 0.98, 1, 1.14, 1.71, 3.18, 1.14, 0.94, 2.05, 0.86, 0.75, 0.23, 0.00, 1.21, 1.38, 0.30, 0.83, 0.69, 0.77, 1.02, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
