frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
1191, 0, 44.676, 0.98, 1, 0.49, 1.09, 1.65, 1.16, 0.91, 1.83, 0.52, 0.76, 0.44, 0.79, 0.44, 1.04, 0.69, 0.60, 0.00, 0.47, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1192, 0, 44.751, 0.98, 1, 0.49, 1.16, 1.64, 0.92, 0.83, 1.28, 0.74, 0.62, 0.33, 0.90, 0.31, 1.10, 0.62, 0.59, 0.22, 0.73, 0.19, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1193, 0, 44.778, 0.98, 1, 0.28, 1.02, 1.85, 0.91, 0.81, 1.61, 0.84, 0.74, 0.40, 0.67, 0.16, 1.03, 0.87, 0.72, 0.11, 0.81, 0.07, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1194, 0, 44.809, 0.98, 1, 0.37, 1.06, 1.99, 0.73, 0.70, 1.70, 0.64, 0.83, 0.28, 0.47, 0.54, 0.96, 0.77, 0.60, 0.24, 0.64, 0.16, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1195, 0, 44.836, 0.98, 1, 0.44, 1.02, 1.92, 0.80, 0.65, 1.63, 0.76, 0.60, 0.30, 0.49, 0.28, 1.02, 0.74, 0.61, 0.14, 0.75, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1196, 0, 44.871, 0.98, 1, 0.45, 1.14, 1.79, 0.91, 0.79, 1.77, 0.71, 0.57, 0.42, 0.38, 0.63, 1.06, 0.63, 0.44, 0.04, 0.62, 0.30, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1197, 0, 44.901, 0.98, 1, 0.32, 1.01, 1.89, 1.28, 0.71, 1.81, 0.71, 0.62, 0.41, 0.39, 0.34, 0.85, 0.87, 0.44, 0.00, 0.65, 0.15, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1198, 0, 44.968, 0.98, 1, 0.49, 1.22, 1.74, 1.12, 0.82, 1.53, 0.80, 0.66, 0.37, 0.65, 0.08, 1.16, 0.89, 0.58, 0.19, 0.68, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1199, 0, 45.028, 0.98, 1, 0.15, 0.76, 1.72, 1.04, 0.77, 1.62, 0.62, 0.80, 0.39, 0.55, 0.09, 1.04, 0.79, 0.64, 0.07, 0.91, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
1200, 0, 45.072, 0.98, 1, 0.33, 0.97, 1.66, 0.81, 0.79, 1.70, 0.69, 0.55, 0.31, 0.52, 0.43, 1.03, 0.85, 0.50, 0.23, 0.80, 0.19, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
