frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
8387, 0, 338.614, 0.98, 1, 1.49, 1.32, 3.36, 0.28, 1.19, 3.60, 1.35, 1.14, 0.15, 0.38, 1.50, 1.52, 0.00, 1.44, 0.09, 0.50, 0.96, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8388, 0, 338.648, 0.98, 1, 1.39, 1.56, 3.66, 0.25, 1.24, 3.57, 1.16, 1.19, 0.09, 0.50, 1.56, 1.56, 0.00, 1.58, 0.00, 0.23, 0.65, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8389, 0, 338.688, 0.98, 1, 1.51, 1.40, 3.53, 0.25, 1.19, 3.26, 1.25, 1.24, 0.20, 0.60, 1.73, 1.84, 0.00, 1.47, 0.08, 0.28, 0.92, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8390, 0, 338.719, 0.98, 1, 1.33, 1.54, 3.70, 0.35, 1.19, 3.30, 1.20, 1.25, 0.15, 0.51, 1.64, 1.60, 0.13, 1.42, 0.06, 0.27, 0.90, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8391, 0, 338.767, 0.98, 1, 1.38, 1.32, 3.70, 0.42, 1.21, 3.10, 1.16, 1.32, 0.17, 0.43, 1.75, 1.62, 0.01, 1.48, 0.14, 0.57, 0.71, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8392, 0, 338.795, 0.98, 1, 1.43, 1.42, 3.71, 0.40, 1.19, 3.18, 1.17, 1.26, 0.14, 0.58, 1.51, 1.53, 0.10, 1.41, 0.26, 0.64, 0.58, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8393, 0, 338.822, 0.98, 1, 1.36, 1.55, 3.55, 0.30, 1.11, 3.23, 1.27, 1.18, 0.10, 0.71, 1.47, 1.66, 0.16, 1.48, 0.09, 0.39, 1.10, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8394, 0, 338.851, 0.98, 1, 1.48, 1.48, 3.75, 0.26, 1.21, 3.49, 1.15, 1.27, 0.18, 0.67, 1.77, 1.73, 0.15, 1.33, 0.11, 0.42, 0.88, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8395, 0, 338.885, 0.98, 1, 1.38, 1.52, 3.43, 0.35, 1.26, 3.27, 1.18, 1.20, 0.11, 0.66, 1.72, 1.66, 0.31, 1.52, 0.07, 0.22, 0.84, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8396, 0, 338.937, 0.98, 1, 1.47, 1.44, 3.58, 0.47, 1.20, 3.81, 1.17, 1.28, 0.10, 0.61, 1.59, 1.78, 0.18, 1.46, 0.02, 0.28, 1.02, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8397, 0, 338.976, 0.98, 1, 1.29, 1.43, 3.62, 0.81, 1.23, 3.16, 1.21, 1.03, 0.12, 0.44, 1.61, 1.77, 0.36, 1.49, 0.16, 0.36, 1.05, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8398, 0, 339.009, 0.98, 1, 1.33, 1.41, 3.54, 0.26, 1.12, 3.34, 1.09, 1.13, 0.11, 0.62, 1.82, 1.66, 0.08, 1.50, 0.14, 0.45, 0.72, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8399, 0, 339.034, 0.98, 1, 1.33, 1.35, 3.57, 0.23, 1.15, 3.45, 1.12, 1.21, 0.09, 0.67, 1.74, 1.66, 0.10, 1.55, 0.14, 0.57, 0.71, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8400, 0, 339.062, 0.98, 1, 1.34, 1.33, 3.37, 0.25, 1.21, 3.41, 1.16, 1.22, 0.11, 0.38, 1.50, 1.62, 0.37, 1.53, 0.20, 0.35, 0.80, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8401, 0, 339.088, 0.98, 1, 1.24, 1.57, 3.47, 0.48, 1.14, 3.20, 1.21, 1.14, 0.07, 0.54, 1.56, 1.68, 0.01, 1.53, 0.06, 0.16, 0.64, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8402, 0, 339.121, 0.98, 1, 1.31, 1.39, 3.60, 0.34, 1.13, 3.66, 1.17, 1.12, 0.02, 0.79, 1.63, 1.69, 0.18, 1.54, 0.00, 0.42, 0.71, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8403, 0, 339.170, 0.98, 1, 1.22, 1.17, 3.59, 0.00, 1.19, 3.54, 1.17, 1.31, 0.06, 0.76, 1.72, 1.69, 0.17, 1.50, 0.34, 0.48, 0.62, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8404, 0, 339.229, 0.98, 1, 1.28, 1.28, 3.60, 0.43, 1.19, 3.52, 1.21, 1.09, 0.13, 0.38, 1.49, 1.64, 0.21, 1.36, 0.19, 0.50, 0.56, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8405, 0, 339.251, 0.98, 1, 1.35, 1.25, 3.62, 0.49, 1.24, 3.54, 1.22, 1.15, 0.11, 0.44, 1.43, 1.40, 0.08, 1.51, 0.38, 0.50, 0.95, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8406, 0, 339.282, 0.98, 1, 1.43, 1.51, 3.59, 0.48, 1.25, 3.54, 1.24, 1.13, 0.15, 0.37, 1.56, 1.65, 0.06, 1.54, 0.16, 0.52, 0.60, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8407, 0, 339.329, 0.98, 1, 1.39, 1.63, 3.60, 0.69, 1.23, 3.00, 1.28, 1.18, 0.05, 0.52, 1.83, 1.92, 0.08, 1.53, 0.23, 0.64, 0.73, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8408, 0, 339.359, 0.98, 1, 1.63, 1.54, 3.63, 0.37, 1.13, 3.07, 1.28, 1.12, 0.09, 0.56, 1.40, 1.75, 0.47, 1.46, 0.38, 0.44, 0.51, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8409, 0, 339.411, 0.98, 1, 1.40, 1.89, 3.54, 0.79, 1.17, 3.04, 1.13, 1.18, 0.14, 0.63, 1.48, 1.78, 0.19, 1.53, 0.34, 0.30, 0.76, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8410, 0, 339.454, 0.98, 1, 1.45, 1.66, 3.59, 0.41, 1.19, 3.02, 1.16, 1.08, 0.18, 0.64, 1.52, 1.76, 0.13, 1.53, 0.42, 0.41, 0.54, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8411, 0, 339.490, 0.98, 1, 1.51, 1.48, 3.59, 0.15, 1.13, 3.39, 1.31, 1.03, 0.10, 0.40, 1.31, 1.57, 0.27, 1.61, 0.40, 0.70, 0.60, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8412, 0, 339.531, 0.98, 1, 1.39, 1.50, 3.55, 0.64, 1.22, 3.41, 1.30, 1.28, 0.17, 0.53, 1.62, 1.64, 0.14, 1.64, 0.27, 0.49, 0.69, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
