frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
8193, 0, 331.109, 0.98, 1, 1.48, 1.52, 3.42, 0.00, 1.18, 2.80, 1.25, 0.97, 0.17, 0.44, 1.66, 1.63, 0.17, 1.56, 0.36, 0.53, 0.87, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8194, 0, 331.155, 0.98, 1, 1.73, 1.88, 3.83, 0.51, 1.23, 3.13, 1.30, 0.87, 0.13, 0.59, 1.21, 1.45, 0.02, 1.49, 0.67, 0.80, 0.83, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8195, 0, 331.194, 0.98, 1, 1.67, 1.75, 3.63, 0.63, 1.19, 3.06, 1.27, 0.96, 0.11, 0.43, 1.54, 1.44, 0.12, 1.52, 0.51, 0.52, 0.82, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8196, 0, 331.222, 0.98, 1, 1.68, 1.88, 3.61, 0.39, 1.28, 2.96, 1.33, 1.05, 0.21, 0.54, 1.40, 1.39, 0.00, 1.40, 0.50, 0.75, 0.86, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0,Angry
8197, 0, 331.249, 0.98, 1, 1.65, 1.44, 3.52, 0.35, 1.24, 3.29, 1.36, 1.22, 0.26, 0.57, 1.53, 1.63, 0.11, 1.45, 0.36, 0.50, 1.09, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8198, 0, 331.278, 0.98, 1, 1.64, 1.72, 3.46, 0.56, 1.16, 2.93, 1.32, 1.12, 0.23, 0.48, 1.50, 1.52, 0.00, 1.47, 0.60, 0.42, 0.69, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8199, 0, 331.328, 0.98, 1, 1.52, 1.54, 3.62, 0.81, 1.06, 2.76, 1.26, 1.07, 0.24, 0.10, 1.29, 1.40, 0.00, 1.32, 0.53, 0.41, 0.98, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8200, 0, 331.364, 0.98, 1, 1.76, 1.81, 3.50, 0.34, 1.21, 2.97, 1.25, 1.06, 0.17, 0.22, 1.33, 1.50, 0.04, 1.36, 0.20, 0.18, 0.84, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8201, 0, 331.420, 0.98, 1, 1.95, 2.10, 3.41, 0.45, 1.14, 2.93, 1.19, 0.96, 0.08, 0.31, 1.21, 1.11, 0.21, 1.32, 0.57, 0.27, 0.82, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
8202, 0, 331.458, 0.98, 1, 1.92, 1.94, 3.47, 0.44, 1.19, 3.02, 1.34, 0.95, 0.15, 0.54, 1.34, 1.22, 0.02, 1.42, 0.68, 0.26, 0.90, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
