frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
376, 0, 18.765, 0.98, 1, 0.51, 0.68, 1.75, 0.67, 0.84, 2.41, 0.33, 0.83, 0.25, 0.01, 0.33, 0.45, 0.81, 0.39, 0.42, 0.86, 0.53, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
377, 0, 18.815, 0.98, 1, 0.56, 0.58, 1.65, 0.63, 0.83, 2.33, 0.44, 0.63, 0.17, 0.24, 0.25, 0.54, 0.85, 0.47, 0.48, 0.49, 0.42, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
378, 0, 18.868, 0.98, 1, 0.51, 0.35, 1.61, 0.38, 0.75, 2.06, 0.22, 0.63, 0.15, 0.10, 0.51, 0.40, 0.83, 0.42, 0.48, 0.76, 0.33, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
379, 0, 18.890, 0.98, 1, 0.60, 0.51, 1.75, 0.69, 0.76, 2.34, 0.25, 0.77, 0.13, 0.26, 0.26, 0.31, 0.83, 0.39, 0.79, 0.72, 0.45, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
380, 0, 18.940, 0.98, 1, 0.43, 0.39, 1.55, 0.64, 0.82, 1.91, 0.30, 0.85, 0.15, 0.11, 0.54, 0.48, 0.77, 0.43, 0.56, 0.57, 0.06, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
381, 0, 18.980, 0.98, 1, 0.43, 0.34, 1.62, 0.62, 0.80, 1.99, 0.31, 0.88, 0.11, 0.12, 0.51, 0.20, 0.89, 0.34, 0.55, 0.87, 0.17, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
382, 0, 19.031, 0.98, 1, 0.57, 0.64, 1.54, 0.50, 0.82, 1.83, 0.28, 0.83, 0.11, 0.12, 0.28, 0.30, 0.79, 0.38, 0.49, 0.68, 0.09, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
383, 0, 19.072, 0.98, 1, 0.41, 0.42, 1.45, 0.61, 0.84, 1.92, 0.17, 0.66, 0.17, 0.00, 0.16, 0.16, 0.66, 0.34, 0.65, 0.49, 0.22, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
384, 0, 19.115, 0.98, 1, 0.45, 0.43, 1.57, 0.56, 0.75, 1.92, 0.20, 0.58, 0.08, 0.05, 0.27, 0.59, 0.90, 0.44, 0.54, 0.92, 0.27, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
385, 0, 19.157, 0.98, 1, 0.32, 0.49, 1.25, 0.04, 0.71, 1.55, 0.26, 0.65, 0.14, 0.09, 0.15, 0.28, 0.68, 0.27, 0.45, 0.81, 0.27, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
