frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
3336, 0, 134.518, 0.88, 1, 1.52, 2.27, 2.11, 1.41, 0.16, 1.75, 0.68, 0.15, 0.00, 1.45, 2.76, 2.62, 1.25, 2.37, 0.07, 0.42, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3337, 0, 134.550, 0.88, 1, 1.44, 1.88, 2.00, 1.13, 0.14, 2.14, 0.55, 0.48, 0.02, 1.12, 2.45, 2.49, 0.90, 2.29, 0.01, 0.63, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3338, 0, 134.581, 0.88, 1, 1.38, 2.39, 1.91, 1.03, 0.20, 2.01, 0.32, 0.02, 0.18, 1.15, 2.58, 2.58, 1.17, 2.51, 0.00, 0.23, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3339, 0, 134.614, 0.88, 1, 1.40, 2.00, 2.16, 1.37, 0.16, 2.22, 0.52, 0.05, 0.13, 1.01, 2.44, 2.30, 0.64, 2.34, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3340, 0, 134.647, 0.88, 1, 1.26, 2.20, 1.92, 1.14, 0.10, 1.84, 0.43, 0.61, 0.20, 1.32, 2.70, 2.59, 1.05, 2.39, 0.00, 0.32, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3341, 0, 134.683, 0.88, 1, 1.66, 2.15, 2.03, 1.50, 0.22, 1.94, 0.49, 0.32, 0.11, 1.15, 2.27, 2.63, 1.25, 2.43, 0.00, 0.13, 0.21, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3342, 0, 134.710, 0.88, 1, 1.26, 2.37, 2.32, 1.27, 0.13, 1.67, 0.36, 0.32, 0.17, 1.34, 2.54, 2.52, 0.79, 2.48, 0.00, 0.12, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3343, 0, 134.745, 0.88, 1, 1.21, 1.99, 1.90, 1.67, 0.12, 1.65, 0.36, 0.10, 0.05, 1.16, 2.43, 2.55, 0.87, 2.38, 0.00, 0.26, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3344, 0, 134.791, 0.88, 1, 1.27, 1.98, 1.77, 1.42, 0.18, 1.91, 0.65, 0.44, 0.12, 1.13, 2.52, 2.46, 0.87, 2.29, 0.00, 0.37, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3345, 0, 134.823, 0.88, 1, 1.34, 2.25, 2.09, 1.21, 0.37, 1.91, 0.58, 0.19, 0.19, 1.22, 2.56, 2.61, 1.08, 2.34, 0.00, 0.35, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
