frame,faceId,timeStamp,confidence,success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,Class
3139, 0, 126.772, 0.88, 1, 1.06, 2.45, 1.59, 1.37, 0.00, 1.09, 0.20, 0.45, 0.25, 0.87, 3.08, 2.70, 1.49, 2.32, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3140, 0, 126.808, 0.88, 1, 1.11, 2.08, 1.59, 1.39, 0.00, 1.33, 0.32, 0.59, 0.24, 1.09, 2.93, 2.97, 1.24, 2.55, 0.00, 0.05, 0.00, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3141, 0, 126.851, 0.88, 1, 1.32, 2.13, 1.78, 1.62, 0.29, 1.43, 0.26, 0.70, 0.24, 1.20, 2.72, 3.28, 1.43, 2.44, 0.00, 0.22, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3142, 0, 126.876, 0.88, 1, 1.03, 2.14, 1.74, 1.30, 0.17, 1.37, 0.14, 0.50, 0.16, 1.37, 3.07, 3.26, 1.64, 2.54, 0.00, 0.00, 0.00, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
3143, 0, 126.919, 0.88, 1, 1.16, 2.35, 1.75, 1.00, 0.08, 1.10, 0.25, 0.43, 0.18, 1.08, 3.35, 3.31, 1.10, 2.32, 0.00, 0.10, 0.09, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3144, 0, 126.965, 0.88, 1, 1.27, 2.44, 1.75, 1.42, 0.06, 1.53, 0.42, 0.58, 0.36, 1.18, 2.98, 3.24, 1.24, 2.43, 0.00, 0.03, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3145, 0, 126.996, 0.88, 1, 1.26, 2.28, 1.59, 1.52, 0.11, 1.08, 0.07, 0.60, 0.23, 1.37, 3.20, 3.36, 1.53, 2.53, 0.00, 0.14, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3146, 0, 127.025, 0.88, 1, 1.01, 2.48, 1.96, 2.08, 0.11, 1.65, 0.42, 0.41, 0.20, 1.34, 3.10, 3.20, 1.29, 2.41, 0.00, 0.31, 0.00, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3147, 0, 127.051, 0.88, 1, 1.45, 2.50, 1.92, 1.96, 0.02, 1.20, 0.38, 0.46, 0.21, 1.44, 3.04, 3.20, 1.37, 2.33, 0.00, 0.33, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,Angry
3148, 0, 127.089, 0.88, 1, 1.18, 2.00, 1.97, 1.32, 0.07, 0.96, 0.11, 0.58, 0.17, 1.14, 3.08, 3.23, 1.21, 2.28, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0,Angry
