frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
1;;;;;2.44;1.6;0;0;1.66;3.45;0.95;1.64;1.34;1.48;0;0;0;0;3.68;0.83;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;Angry
2;;;;;1.27;0.75;0.1;0.26;1.88;2.59;0.32;1.18;1.2;1.04;0;0.38;0.06;0;3.15;0.4;0.55;1;1;1;0;1;1;0;1;1;1;0;0;0;0;1;1;0;1;Angry
3;;;;;0.68;0.22;0.1;0.26;1.72;2.53;0;1.53;1.1;0.54;0;0.44;0.62;0.15;2.54;0.35;0.55;0;1;0;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;Angry
4;;;;;1.05;0;0.52;0.26;0.83;1.79;0;0.89;0.82;0.52;0.7;0.4;0.75;0.15;1.99;0.23;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;Angry
5;;;;;1.05;0;0.79;0;0.6;1.96;0;1.33;0.77;1.53;0.7;0.46;0.75;0.15;1.33;0.52;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;Angry
6;;;;;0.82;0;1.68;0;0.5;0.94;0;0.74;0.43;1.53;0.7;0.4;0.2;0;1.19;0.54;0.05;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;Angry
7;;;;;0.41;0.18;2.22;0;1.52;1.74;0.24;1.85;0.94;1.5;0;0.1;0;0;2.28;0.88;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Angry
8;;;;;0.41;0.18;1.95;0;1.31;0.87;0.24;1.42;0.7;0.49;0;0;0;0;1.56;0.58;0.06;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Angry
11;;;;;0.64;0;0.71;0;0.12;0.8;0;0.3;0;0.62;0;0.17;0;0;0;0;0.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Angry
16;;;;;0;0;0.4;0;0.86;0.81;0.24;1.05;0.32;0.43;0.59;0.14;0.56;0;1.43;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Angry
17;;;;;0;0;1.22;0;1.23;1.25;0.24;1.87;0.42;0.46;0.59;0.21;0.56;0;2.69;0.78;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Angry
18;;;;;0;0;0.82;0;0.89;1.23;0.24;2.38;0.32;0.46;0.29;1;0.56;0;2.64;1.02;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Angry
