frame;faceId;timeStamp;confidence;success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;Class
1;;;;;0;0;0.69;0;0;0;0;0.14;0;0;0;1.25;0;0.59;0;0;0.38;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;Angry
2;;;;;0.35;0.08;0.93;0.44;0.72;0.56;0.25;1.15;0.38;0.43;0.61;1.24;0.29;1.09;2.09;1.52;0.13;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;0;Angry
3;;;;;0.35;0.08;0.85;0.44;1.5;1.22;0.33;1.86;0.39;0.77;0.61;2;0.61;1.01;2.09;2.17;0.16;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;Angry
4;;;;;0.55;0.55;0.59;0.53;1.09;0.96;0.08;1.47;0.19;0.94;0;2.26;0.32;1.72;0.92;2.56;0.16;0;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;Angry
5;;;;;0.2;0.84;0.36;0.53;0.92;0.96;0.08;0.86;0.01;0.51;0;1.54;0.55;1.07;0.27;2.22;0.16;0;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;Angry
6;;;;;0.2;1.1;0.21;0.84;0.7;0.38;0;0.71;0.2;0.3;0;0.36;0.23;0.95;1.7;1.99;0;0;1;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;Angry
7;;;;;0;0.62;0.32;0.31;0.97;0.32;0;1.51;0.2;1.22;0.06;0.34;0.61;0.25;2.37;2.07;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;1;Angry
8;;;;;0.24;0.26;0.79;0.31;1.43;1.84;0;1.96;0.47;1.62;0.06;1.18;0.41;0;2.1;1.15;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;Angry
9;;;;;0.24;0.28;0.85;0;0.88;2.18;0.34;1.55;0.27;1.63;0.2;1.79;0.41;0;0.91;0.73;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;Angry
10;;;;;0.24;0.28;0.63;0;1.53;3.21;0.58;1.63;1.03;1.01;0.24;1.96;0.03;0;0.85;0.25;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;Angry
11;;;;;0;0.28;0.15;0;0.93;1.69;0.58;1.08;0.76;0.6;0.24;1.12;0;0;0.85;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;Angry
14;;;;;0;0;0.08;0;0.06;0.6;0;0;0;0.01;0;0;0;0.89;0;0.57;0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Angry
17;;;;;0.8;0;2.3;0;0.56;1.19;0;0.89;0.07;0.56;0.35;0.88;1.09;0.41;0.11;0.24;0.42;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;Angry
18;;;;;0.8;0;2.66;0;0.73;1.72;0;1.43;0.07;0.73;0.35;0.88;1.09;0.41;1.3;0.69;0.47;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;Angry
19;;;;;0.56;0;2.51;0;0.98;1.76;0;1.26;0.07;0.57;0.61;0.3;0.54;0;1.49;0.81;0.38;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;Angry
20;;;;;1.03;0.39;0.85;0;0.64;1;0.06;0.61;0.18;0.33;0.67;0.03;0.1;0;1.87;0.57;0.92;1;1;1;0;1;1;0;1;0;0;1;0;1;1;1;0;0;1;Angry
21;;;;;1.92;0.46;0.65;0;0.99;1.25;0.21;0.52;0.25;0.16;1.11;0.84;0.1;0;0.76;0.12;1.17;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;Angry
22;;;;;1.96;0.46;0.73;0;1.6;1.71;0.92;1.41;0.25;0.48;0.86;1.49;0.27;0;1.82;0.39;1.56;1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;1;0;1;Angry
23;;;;;1.91;0.69;0.81;0.56;1.44;2.23;0.87;1.97;0.22;1.24;0.83;1.61;0.21;0;1.83;0.89;0.76;1;1;1;0;1;1;0;1;0;0;1;0;1;1;1;1;0;1;Angry
24;;;;;1.29;0.62;0.69;0.56;1.13;2.49;0.71;1.77;0.15;1.24;0.99;1.84;0.52;0.16;1.75;1.99;0.46;1;1;0;0;1;1;0;1;0;0;1;1;1;1;1;0;0;1;Angry
25;;;;;1.48;1.19;0.13;0.83;0.8;2.29;0;1.32;0.49;1.33;1.47;1.19;0.81;0.16;2.16;1.85;0.01;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1;0;0;1;Angry
26;;;;;0.49;0.57;0.76;0.27;1.59;2.43;0;1.52;0.34;1.07;1.09;2.4;1.05;1.63;1.67;1.34;0.01;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;Angry
27;;;;;0.22;0.57;1.25;0.27;2.06;2.11;0;2.23;0.73;1.52;0.56;2.05;0.74;1.48;2.25;0.25;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;Angry
28;;;;;0;0;1.25;0.15;1.62;2.18;0;2.21;0.48;1.28;0.08;2.05;0.24;1.48;1.48;0.06;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;Angry
