frame; face_id; timestamp; confidence; success; AU01_r; AU02_r; AU04_r; AU05_r; AU06_r; AU07_r; AU09_r; AU10_r; AU12_r; AU14_r; AU15_r; AU17_r; AU20_r; AU23_r; AU25_r; AU26_r; AU45_r; AU01_c; AU02_c; AU04_c; AU05_c; AU06_c; AU07_c; AU09_c; AU10_c; AU12_c; AU14_c; AU15_c; AU17_c; AU20_c; AU23_c; AU25_c; AU26_c; AU28_c; AU45_c;emotion
1;0;0.359;0.98;1;0.12;0;0.72;0;0.94;0;0;0.86;1.94;1.26;0.02;0.21;0.12;0;0.07;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
2;0;0.503;0.98;1;0.04;0;0.7;0;1.1;0;0.16;0.9;2;1.3;0.33;0.07;0.04;0;0.44;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
3;0;0.562;0.98;1;0.02;0;0.74;0;1.17;0;0.18;0.98;2.08;1.28;0.44;0.09;0;0;0.71;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
4;0;0.605;0.98;1;0.02;0;0.74;0;1.15;0;0.15;0.96;2.15;1.23;0.37;0.09;0;0;0.75;0;0.02;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
5;0;0.65;0.98;1;0.02;0;0.86;0;1.16;0;0.13;1.09;2.14;1.16;0.16;0.08;0;0;0.61;0;0.02;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
6;0;0.682;0.98;1;0;0;0.91;0;1.15;0;0.21;1.09;2.1;1.22;0.05;0;0;0;0.53;0;0.02;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
7;0;0.718;0.98;1;0;0;0.85;0;1.19;0;0.17;1.03;2.1;1.27;0.07;0;0;0;0.61;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
8;0;0.78;0.98;1;0;0;0.75;0;1.17;0;0.17;1.08;2.11;1.34;0.08;0.05;0;0;0.45;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
9;0;0.841;0.98;1;0;0;0.65;0;1.21;0.03;0.1;1.05;2.17;1.25;0.08;0.06;0;0;0.47;0;0.05;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
10;0;0.922;0.98;1;0;0;0.67;0;1.19;0.03;0.1;1.09;2.2;1.2;0.05;0.08;0;0;0.46;0;0.05;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
11;0;0.978;0.98;1;0;0;0.84;0;1.25;0.03;0.06;0.97;2.22;1.27;0.14;0.16;0;0;0.56;0;0.05;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
12;0;1.015;0.98;1;0;0;0.83;0;1.22;0;0.04;0.92;2.23;1.28;0.14;0.15;0;0;0.61;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
13;0;1.048;0.98;1;0;0;0.78;0;1.18;0;0.02;0.95;2.24;1.32;0.12;0.13;0;0;0.75;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
14;0;1.084;0.98;1;0;0;0.67;0;1.16;0;0.01;1;2.27;1.27;0;0;0;0;0.85;0;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
15;0;1.116;0.98;1;0;0;0.77;0;1.18;0;0.05;1.07;2.3;1.28;0;0;0;0;0.87;0;0.03;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
16;0;1.178;0.98;1;0;0;0.82;0;1.21;0;0.05;1.09;2.3;1.31;0.05;0;0;0;0.75;0;0.2;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
17;0;1.242;0.98;1;0;0;0.84;0;1.2;0;0.09;1.26;2.34;1.35;0.05;0;0;0;0.82;0;0.25;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
18;0;1.305;0.98;1;0;0;0.81;0;1.2;0;0.07;1.41;2.37;1.45;0.05;0;0;0;0.78;0;0.31;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
19;0;1.368;0.98;1;0;0;0.79;0;1.16;0;0.07;1.42;2.35;1.48;0;0;0;0;0.74;0;0.26;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
20;0;1.413;0.98;1;0.02;0;0.88;0;1.21;0;0.04;1.42;2.25;1.5;0;0;0;0;0.83;0.02;0.32;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
21;0;1.448;0.98;1;0.05;0;0.95;0;1.28;0;0.03;1.38;2.15;1.54;0;0;0;0;0.97;0.02;0.33;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;Happy
22;0;1.485;0.98;1;0.05;0;0.99;0;1.3;0;0.09;1.36;2.12;1.58;0;0;0;0;1.01;0.05;0.29;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
23;0;1.515;0.98;1;0.03;0;0.96;0;1.27;0;0.1;1.29;2.19;1.56;0;0;0;0;0.99;0.04;0.24;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
24;0;1.575;0.98;1;0;0;0.93;0;1.24;0;0.13;1.22;2.26;1.55;0;0;0;0;0.97;0.04;0.22;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
25;0;1.606;0.98;1;0;0;0.93;0;1.27;0;0.09;1.27;2.32;1.55;0;0;0;0;1.04;0;0.31;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
26;0;1.64;0.98;1;0;0;0.92;0;1.28;0;0.07;1.28;2.34;1.56;0;0;0;0;0.99;0;0.41;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
27;0;1.671;0.98;1;0;0;0.86;0;1.35;0;0.04;1.2;2.34;1.33;0;0;0;0;0.98;0;0.33;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
28;0;1.704;0.98;1;0;0;0.85;0;1.39;0;0.03;1.17;2.34;1.14;0;0;0;0;0.99;0;0.16;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
29;0;1.736;0.98;1;0;0;0.88;0;1.43;0;0.1;1.16;2.35;1.11;0;0;0;0;0.8;0;0.02;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
30;0;1.775;0.98;1;0;0;0.91;0;1.46;0;0.2;1.24;2.3;1.32;0;0;0;0;0.75;0.06;0.09;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
31;0;1.852;0.98;1;0;0;0.9;0;1.46;0;0.28;1.28;2.23;1.49;0;0;0;0;0.71;0.06;0.09;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
32;0;1.913;0.98;1;0;0;0.85;0;1.45;0;0.26;1.3;2.16;1.49;0;0;0;0;0.87;0.06;0.13;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
33;0;1.977;0.98;1;0;0;0.86;0;1.41;0;0.23;1.3;2.14;1.53;0;0.01;0;0;0.83;0;0.1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;0;0;Happy
